color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,adam mckay,143,2175312.0,['comedy'],Anchorman 2: The Legend Continues,2013,english,usa,50000000.0,6.03,"Harrison Ford,Will Ferrell,Steve Carell",41000
color,zack snyder,143,291021565.0,"['action', 'adventure', 'fantasy', 'sci-fi']",Man of Steel,2013,english,usa,225000000.0,7.02,"Henry Cavill,Christopher Meloni,Harry Lennix",118000
color,sam mendes,143,304360277.0,"['action', 'adventure', 'thriller']",Skyfall,2012,english,uk,200000000.0,7.08,"Albert Finney,Helen McCrory,Rory Kinnear",80000
color,sam mendes,143,304360277.0,"['action', 'adventure', 'thriller']",Skyfall,2012,english,uk,200000000.0,7.08,"Albert Finney,Helen McCrory,Rory Kinnear",80000
color,baz luhrmann,143,144812796.0,"['drama', 'romance']",The Great Gatsby,2013,english,australia,105000000.0,7.03,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
color,baz luhrmann,143,144812796.0,"['drama', 'romance']",The Great Gatsby,2013,english,australia,105000000.0,7.03,"Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley",115000
color,steven spielberg,142,72306065.0,"['drama', 'history', 'thriller']",Bridge of Spies,2015,english,usa,40000000.0,7.06,"Tom Hanks,Mark Rylance,Amy Ryan",55000
color,marc webb,142,202853933.0,"['action', 'adventure', 'fantasy', 'sci-fi']",The Amazing Spider-Man 2,2014,english,usa,200000000.0,6.07,"Emma Stone,Andrew Garfield,B.J. Novak",41000
color,joss whedon,141,458991599.0,"['action', 'adventure', 'sci-fi']",Avengers: Age of Ultron,2015,english,usa,250000000.0,7.05,"Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson",118000
color,justin chadwick,141,8324748.0,"['biography', 'drama', 'history']",Mandela: Long Walk to Freedom,2013,english,uk,35000000.0,7.01,"Terry Pheto,Fana Mokoena,Tony Kgoroge",13000
nan,oliver stone,141,47307550.0,"['crime', 'drama', 'thriller']",Savages,2012,english,usa,45000000.0,6.05,"Demián Bichir,Shea Whigham,Gary Stretch",28000
color,david dobkin,141,47105085.0,"['crime', 'drama']",The Judge,2014,english,usa,50000000.0,7.04,"Robert Downey Jr.,Robert Duvall,Leighton Meester",47000
color,ryan murphy,140,80574010.0,"['drama', 'romance']",Eat Pray Love,2010,english,usa,60000000.0,5.07,"James Franco,Julia Roberts,Billy Crudup",26000
color,james wan,140,350034110.0,"['action', 'crime', 'thriller']",Furious 7,2015,english,usa,190000000.0,7.02,"Jason Statham,Paul Walker,Vin Diesel",94000
color,derek cianfrance,140,21383298.0,"['crime', 'drama', 'thriller']",The Place Beyond the Pines,2012,english,usa,15000000.0,7.03,"Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza",47000
color,gavin o'connor,140,13651662.0,"['drama', 'sport']",Warrior,2011,english,usa,25000000.0,8.02,"Tom Hardy,Frank Grillo,Kevin Dunn",77000
color,gary ross,139,20389967.0,"['action', 'biography', 'drama', 'history', 'war']",Free State of Jones,2016,english,usa,50000000.0,6.07,"Matthew McConaughey,Donald Watkins,Jessica Collins",10000
color,tate taylor,139,30513940.0,"['biography', 'drama', 'music']",Get on Up,2014,english,usa,30000000.0,6.09,"Tika Sumpter,Josh Hopkins,Aunjanue Ellis",11000
nan,terrence malick,139,13303319.0,"['drama', 'fantasy']",The Tree of Life,2011,english,usa,32000000.0,6.07,"Brad Pitt,Tye Sheridan,Fiona Shaw",39000
nan,robert zemeckis,138,93749203.0,"['drama', 'thriller']",Flight,2012,english,usa,31000000.0,7.03,"Denzel Washington,Bruce Greenwood,Nadine Velazquez",64000
color,darren aronofsky,138,101160529.0,"['action', 'adventure', 'drama']",Noah,2014,english,usa,125000000.0,5.08,"Anthony Hopkins,Emma Watson,Logan Lerman",71000
color,martin scorsese,138,127968405.0,"['mystery', 'thriller']",Shutter Island,2010,english,usa,80000000.0,8.01,"Leonardo DiCaprio,Joseph Sikora,Nellie Sciutto",53000
color,ridley scott,138,16969390.0,"['crime', 'drama', 'thriller']",The Counselor,2013,english,usa,25000000.0,5.03,"Michael Fassbender,Brad Pitt,Goran Visnjic",24000
nan,james mangold,138,132550960.0,"['action', 'adventure', 'sci-fi', 'thriller']",The Wolverine,2013,english,usa,120000000.0,6.07,"Hugh Jackman,Tao Okamoto,Rila Fukushima",68000
color,daniel espinosa,137,1206135.0,"['crime', 'drama', 'thriller']",Child 44,205,english,czech republic,50000000.0,6.04,"Tom Hardy,Fares Fares,Michael Nardone",18000
nan,walter salles,137,717753.0,"['adventure', 'drama']",On the Road,2012,english,france,25000000.0,6.01,"Kristen Stewart,Viggo Mortensen,Kirsten Dunst",27000
color,angelina jolie pitt,137,115603980.0,"['biography', 'drama', 'sport', 'war']",Unbroken,2014,english,usa,65000000.0,-1.2,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
color,angelina jolie pitt,137,115603980.0,"['biography', 'drama', 'sport', 'war']",Unbroken,2014,english,usa,65000000.0,7.02,"Finn Wittrock,Jack O'Connell,Alex Russell",35000
nan,seth macfarlane,136,42615685.0,"['comedy', 'western']",A Million Ways to Die in the West,2014,english,usa,40000000.0,6.01,"Liam Neeson,Charlize Theron,Seth MacFarlane",24000
color,anthony russo,136,259746958.0,"['action', 'adventure', 'sci-fi']",Captain America: The Winter Soldier,2014,english,usa,170000000.0,7.08,"Scarlett Johansson,Chris Evans,Hayley Atwell",55000
color,rob marshall,136,241063875.0,"['action', 'adventure', 'fantasy']",Pirates of the Caribbean: On Stranger Tides,2011,english,usa,250000000.0,6.07,"Johnny Depp,Sam Claflin,Stephen Graham",58000
color,adam shankman,136,38509342.0,"['comedy', 'drama', 'musical', 'romance']",Rock of Ages,2012,english,usa,75000000.0,5.09,"James Martin Kelly,Shane Hartline,Celina Beach",33000
color,tony gilroy,135,113165635.0,"['action', 'adventure', 'thriller']",The Bourne Legacy,2012,english,usa,125000000.0,6.07,"Jeremy Renner,Scott Glenn,Stacy Keach",31000
color,steve mcqueen,134,56667870.0,"['biography', 'drama', 'history']",12 Years a Slave,2013,english,usa,20000000.0,8.01,"Quvenzhané Wallis,Scoot McNairy,Taran Killam",83000
color,paul greengrass,134,107100855.0,"['biography', 'drama', 'thriller']",Captain Phillips,2013,english,usa,55000000.0,7.09,"Tom Hanks,Chris Mulkey,Michael Chernus",65000
color,david ayer,134,85707116.0,"['action', 'drama', 'war']",Fury,2014,english,usa,68000000.0,7.06,"Brad Pitt,Logan Lerman,Jim Parrack",82000
color,clint eastwood,5,47034272.0,"['biography', 'drama', 'music', 'musical']",Jersey Boys,2014,english,usa,40000000.0,6.09,"Johnny Cannizzaro,Steve Schirripa,Scott Vance",16000
